title,myrating,avgrating,binding,pages,pubyear,shelf
"The Legacies (Lorien Legacies: The Lost Files, #1-3)",3.00,4.26,Paperback,416.00,2012,read
The Book Thief,5.00,4.37,Paperback,552.00,2005,read
"The Fall of Five (Lorien Legacies, #4)",4.00,4.23,Paperback,355.00,2013,read
"The Rise of Nine (Lorien Legacies, #3)",4.00,4.18,Paperback,372.00,2012,read
In My Father's House,3.00,3.86,Paperback,336.00,1993,read
"The Power of Six (Lorien Legacies, #2)",4.00,4.16,Paperback,406.00,2011,read
"I Am Number Four (Lorien Legacies, #1)",4.00,3.94,Paperback,440.00,2010,read
"The Kill Order (The Maze Runner, #4)",4.00,3.71,Hardcover,327.00,2012,read
The Man Who Fed the World: Nobel Peace Prize Laureate Norman Borlang and His Battle to End World Hunger,0.00,3.88,Hardcover,263.00,2006,to-read
The New Celebrity Scientists: Out of the Lab and into the Limelight,0.00,3.81,ebook,298.00,2015,to-read
No Filter: The Inside Story of Instagram,0.00,4.12,Hardcover,352.00,2020,to-read
Dark Archives: A Librarian's Investigation Into the Science and History of Books Bound in Human Skin,0.00,4.22,Hardcover,288.00,2020,to-read
Irresistible: The Rise of Addictive Technology and the Business of Keeping Us Hooked,0.00,3.86,Hardcover,368.00,2017,to-read
"Something Wicked This Way Comes (Green Town, #2)",0.00,3.93,Paperback,293.00,1962,to-read
The Halloween Tree,0.00,3.83,Paperback,145.00,1972,to-read
Sharks in the Time of Saviors,0.00,3.94,Hardcover,376.00,2020,to-read
Hench,0.00,4.23,Hardcover,416.00,2020,to-read
Fossil Men: The Quest for the Oldest Skeleton and the Origins of Humankind,0.00,4.00,Hardcover,544.00,2020,to-read
"Fangirl, Vol. 1: The Manga",0.00,4.50,Paperback,216.00,2020,to-read
The Loop,0.00,3.63,Hardcover,320.00,2020,to-read
The Stranger in the Woods: The Extraordinary Story of the Last True Hermit,0.00,3.87,Hardcover,203.00,2017,to-read
The Library Book,0.00,3.90,Hardcover,317.00,2018,to-read
Piranesi,0.00,4.38,Hardcover,245.00,2020,to-read
The Midnight Library,0.00,4.28,ebook,304.00,2020,to-read
"The Lost Book of the White (The Eldest Curses, #2)",0.00,4.09,Hardcover,400.00,2020,to-read
1984,0.00,4.19,Paperback,328.00,1949,to-read
Migrations,0.00,4.24,Hardcover,256.00,2020,to-read
The Starless Sea,0.00,3.85,Hardcover,498.00,2019,to-read
The Unhoneymooners,0.00,3.98,Paperback,400.00,2019,to-read
Self Care,0.00,3.25,Paperback,256.00,2020,to-read
The Nature of Nature: Why We Need the Wild,0.00,4.51,Hardcover,288.00,2020,to-read
Disappearing Earth,0.00,3.89,Hardcover,312.00,2019,to-read
